Financial Row,Type,Subsidiary: Name,Department: Name,Account (Line): Name,Date,Accounting Period: Start Date,Document Number,Transaction ID,Entity (Line),Entity (Line): Internal ID,Entity (Line): HubSpot Deal ID,ICC Projects,Name,Description,Amount
411110 - Interco - Insourcing Services Revenue,,,,,,,,,,,,,,,
,Journal,Engagement Factory UK,Insourcing Services,Interco - Insourcing Services Revenue,2024-08-30,2024-08-01,51590.0,898451.0,- No Entity -,,,ICC 654 ICC in Engagement Factory UK Represents Represents Blend360 : AmEx - BTS,,Amex BTS IC rev reclass Aug,10249.100886802686
,Journal,xElimination Blend360,Insourcing Services,Interco - Insourcing Services Revenue,2024-08-31,2024-08-01,52164.0,913917.0,- No Entity -,,,,,TopSide Management Book Elim  from Elim JE 52153,10249.1
,Journal,xElimination Blend360,Intercompany,Interco - Insourcing Services Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 654 ICC in Engagement Factory UK Represents Represents Blend360 : AmEx - BTS,,,-10242.28
Total - 411110 - Interco - Insourcing Services Revenue,,,,,,,,,,,,,,,10255.920886802685
411111 - Interco - FPAI Revenue,,,,,,,,,,,,,,,
,Journal,"futureproofAI, Inc",FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,51999.0,906335.0,- No Entity -,,,ICC 1245 CVS Health : Pega/FPAI Decisioning,,Pega/FPAI Decisioning Invoice 1515,143960.0
,Journal,futureproofAI India Private Limited,FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,52012.0,906549.0,- No Entity -,,,,,Aug24 - FPAI India Interco with FPAI UK LTD Bill #1050,7542.153173995379
,Journal,xElimination Blend360,Intercompany,Interco - FPAI Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1183 The William Carter Company : Carter's - Pega phase 1 implementation cx strategy,,,-110804.0
,Journal,"xElimination futureproofAI Holdings, Inc.",FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,52165.0,913918.0,- No Entity -,,,,,TopSide Management Book Elim fromElim JE 52156,127385.01
,Journal,"futureproofAI, Inc",FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,52002.0,906536.0,- No Entity -,,,ICC 1183 The William Carter Company : Carter's - Pega phase 1 implementation cx strategy,,1183 Carter's : Carter's - Pega phase 1 implementation cx strategy bill 1514,110804.0
,Journal,futureproofAI LTD,FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,52004.0,906540.0,- No Entity -,,,,,Aug24 - FPAI UK LTD Interco with FPAI Inc Bill #1202,49753.49141178971
,Journal,xElimination Blend360,FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,52164.0,913917.0,- No Entity -,,,,,TopSide Management Book Elim  from Elim JE 52153,254764.0
,Journal,"xElimination futureproofAI Holdings, Inc.",Intercompany,Interco - FPAI Revenue,2024-08-31,2024-08-01,52159.0,913810.0,- No Entity -,,,,,,-127384.96
,Journal,futureproofAI India Private Limited,FPAI -General,Interco - FPAI Revenue,2024-08-31,2024-08-01,51998.0,906334.0,- No Entity -,,,,,Aug24 - FPAI India Interco with FPAI Inc Bill #1049 & under bill from July,70089.32303164779
,Journal,xElimination Blend360,Intercompany,Interco - FPAI Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1245 CVS Health : Pega/FPAI Decisioning,,,-143960.0
Total - 411111 - Interco - FPAI Revenue,,,,,,,,,,,,,,,382149.01761743287
411120 - Interco - Data Engineering Revenue,,,,,,,,,,,,,,,
,Journal,Forthpoint,Data Engineering,Interco - Data Engineering Revenue,2024-08-30,2024-08-01,51624.0,901288.0,- No Entity -,,,ICC 1364 ICC in Forth Point Represents Blend360 : Franklin Templeton - Vasu POC Team,,Reclass Wyndham to IC Aug revenues,27326.520036570753
,Journal,Forthpoint,Data Engineering,Interco - Data Engineering Revenue,2024-08-30,2024-08-01,51593.0,898554.0,- No Entity -,,,ICC 1019 ICC in Forth Point Represents Blend360 : Legrand - Cablofil Managed Service Level Agreement,,Legrand IC rev reclass August,1482.103226528586
,Journal,Forthpoint,Data Engineering,Interco - Data Engineering Revenue,2024-08-30,2024-08-01,51594.0,898555.0,- No Entity -,,,ICC 1151 ICC in Forth Point Represents FutureproofAI : British Telecom - Technical BA - Rhiannon,,BT (FPAI) IC rev reclass August,16580.39656775298
,Journal,Forthpoint,Data Engineering,Interco - Data Engineering Revenue,2024-08-30,2024-08-01,51595.0,898556.0,- No Entity -,,,ICC 1364 ICC in Forth Point Represents Blend360 : Franklin Templeton - Vasu POC Team,,Reclass F. Templeton to IC Aug revenues related to bill SC24140,34733.70693085524
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1268 Dish : 2: Dish - Integrated Data + Martech solution,,2: Dish - Integrated Data + Martech solution Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2308,3916.8233676003633
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 834 Franklin Templeton : Franklin Templeton - PMO+Engineering Tiger Team,,,-237.11
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1222 Franklin Templeton : Franklin Templeton - Vasu POC Team,,Franklin Templeton - Vasu POC Team Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2309,11621.409654790656
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1051 Wyndham Hotels and Resorts : Wyndham - Guest Analytics Retainer,,Wyndham - Guest Analytics Retainer Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2303,16687.76799603204
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1040 CVS Health : MGE/PMH/GPT 2024 Team,,CVS: MGE/PMH/GPT 2024 Team Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,43450.225663529454
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1077 Know Your Cross : Monthly retainer - 6 months engagement,,Know Your Cross: Monthly retainer - 6 months engagement Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2307,26692.42506799369
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1202 Hyatt : Hyatt - GenAI Implementation,,,-25419.83
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1364 ICC in Forth Point Represents Blend360 : Franklin Templeton - Vasu POC Team,,,-62060.23
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1019 ICC in Forth Point Represents Blend360 : Legrand - Cablofil Managed Service Level Agreement,,,-1482.1
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1203 CVS Health : Foundry--FED Harleen,,,-10564.92
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1262 Under Armour : Under Armour - Analytics POD,,Under Armour - Analytics POD Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2301,10564.917867991506
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52100.0,912006.0,- No Entity -,,,ICC 1166 ICC in Montevideo represents Blend360 : Fedefarma: Landing Zone Assessment & Recommendation Phase,,Record IC Bill A 2249,160.07451315138644
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1268 Dish : 2: Dish - Integrated Data + Martech solution,,,-3916.82
,Journal,xElimination Blend International,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52154.0,913412.0,- No Entity -,,,"ICC 1343 FEDERACIÃ“ FARMACÃˆUTICA, S.C.C.L : Landing Zone Implementation Phase",,,-27292.7
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1333 NBCU : Prism (Wingspan) 2.0 Phase 2,,,-11405.31
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 895 Comcast Corporation : Comcast: 2024 Loyalty and Rewards Pod,,,-8804.1
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 834 Franklin Templeton : Franklin Templeton - PMO+Engineering Tiger Team,,Franklin Templeton - PMO+Engineering Tiger Team Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2309,237.11049653286727
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 895 Comcast Corporation : Comcast: 2024 Loyalty and Rewards Pod,,Comcast: 2024 Loyalty and Rewards Pod Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2310,8804.098223326255
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1203 CVS Health : Foundry--FED Harleen,,CVS: Foundry--FED Harleen Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,10564.917867991506
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1312 Franklin Templeton : Franklin Templeton - Tiger Teams Renewal (July - Sept),,,-88883.37
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1040 CVS Health : MGE/PMH/GPT 2024 Team,,,-43450.23
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 880 NBCU : AWB 2.0 Pod 1H 2024 Extension,,,-37417.42
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1350 CVS Health : Personalization Future State--Francis,,Personalization Future State--Francis Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,3121.453006452036
,Journal,xElimination Blend360,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52164.0,913917.0,- No Entity -,,,,,TopSide Management Book Elim  from Elim JE 52153,416929.29
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1262 Under Armour : Under Armour - Analytics POD,,,-10564.92
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1350 CVS Health : Personalization Future State--Francis,,,-3121.45
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1051 Wyndham Hotels and Resorts : Wyndham - Guest Analytics Retainer,,,-16687.77
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51874.0,902725.0,- No Entity -,,,"ICC 1343 FEDERACIÃ“ FARMACÃˆUTICA, S.C.C.L : Landing Zone Implementation Phase",,FedeFarma: Landing Zone Implementation Phase Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2296,27292.70449231139
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1202 Hyatt : Hyatt - GenAI Implementation,,Hyatt - GenAI Implementation Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2302,25419.83268844017
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1225 ICC in Blend Represents FPAI Inc (OA) : Verizon: Turing- Personalization Phase 2 Capacity Service,,,-27458.69
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 880 NBCU : AWB 2.0 Pod 1H 2024 Extension,,NBCU: AWB 2.0 Pod 1H 2024 Extension Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2313,37417.417449136585
,Journal,"Blend360, LLC",Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,49289.0,888244.0,474 ICC in Blend Represents FPAI Inc (OA) : 1225 Verizon: Turing- Personalization Phase 2 Capacity Service,30773.0,15772947813,ICC 1225 ICC in Blend Represents FPAI Inc (OA) : Verizon: Turing- Personalization Phase 2 Capacity Service,,Retainer Revenue Recognition,27458.69
,Journal,xElimination Blend International,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52163.0,913916.0,- No Entity -,,,,,TopSide Management Book Elim from Elim JE 52151,27452.78
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1222 Franklin Templeton : Franklin Templeton - Vasu POC Team,,,-11621.41
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1333 NBCU : Prism (Wingspan) 2.0 Phase 2,,NBCU: Prism (Wingspan) 2.0 Engineering Team Extension Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2313,11405.309062036284
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1204 CVS Health : Foundry Targeting - Alpesh FED,,CVS: Foundry Targeting - Alpesh FED Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,10564.917867991506
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1204 CVS Health : Foundry Targeting - Alpesh FED,,,-10564.92
,Journal,Montevideo Labs,Data Engineering,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1312 Franklin Templeton : Franklin Templeton - Tiger Teams Renewal (July - Sept),,Franklin Templeton - Tiger Teams Renewal (July - Sept) Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2309,88883.37435872172
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1077 Know Your Cross : Monthly retainer - 6 months engagement,,,-26692.43
,Journal,xElimination Blend360,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1151 ICC in Forth Point Represents FutureproofAI : British Telecom - Technical BA - Rhiannon,,,-16580.4
,Journal,xElimination Blend International,Intercompany,Interco - Data Engineering Revenue,2024-08-31,2024-08-01,52154.0,913412.0,- No Entity -,,,ICC 1166 ICC in Montevideo represents Blend360 : Fedefarma: Landing Zone Assessment & Recommendation Phase,,,-160.07
Total - 411120 - Interco - Data Engineering Revenue,,,,,,,,,,,,,,,444382.06640573684
411130 - Interco - Business Intelligence Revenue,,,,,,,,,,,,,,,
,Journal,Forthpoint,Business Intelligence,Interco - Business Intelligence Revenue,2024-08-30,2024-08-01,51594.0,898555.0,- No Entity -,,,ICC 1091 ICC in Forth Point Represents FutureproofAI : British Telecom - IDC resource Chaitanya,,BT (FPAI) IC rev reclass August,28949.89876909251
,Journal,Forthpoint,Business Intelligence,Interco - Business Intelligence Revenue,2024-08-30,2024-08-01,51593.0,898554.0,- No Entity -,,,ICC 1019 ICC in Forth Point Represents Blend360 : Legrand - Cablofil Managed Service Level Agreement,,Legrand IC rev reclass August,1482.103226528586
,Journal,Montevideo Labs,Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 1051 Wyndham Hotels and Resorts : Wyndham - Guest Analytics Retainer,,Wyndham - Guest Analytics Retainer Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2303,12017.594074840337
,Journal,xElimination Blend International,Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52163.0,913916.0,- No Entity -,,,,,TopSide Management Book Elim from Elim JE 52151,3378.98
,Journal,xElimination Blend360,Intercompany,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1115 ICC in Montevideo represents Blend360 : UDX: Digital Analytics - FTE Support,,,-5602.61
,Journal,"Blend360 International Holdings, LLC",Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,49315.0,889371.0,- No Entity -,,,ICC 782 ICC India representing FPAI : British Telecom - Qlik Development,,"Aug24 India recharge to FPAI for employee cost related Client ICC India representing FPAI project British Telecom - Qlik Development project British Telecom - Qlik Development User PADALA, CHAITANYA billable Hrs 153",3121.97
,Journal,xElimination Blend360,Intercompany,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1091 ICC in Forth Point Represents FutureproofAI : British Telecom - IDC resource Chaitanya,,,0.0
,Journal,"Blend360 International Holdings, LLC",Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,49311.0,889366.0,- No Entity -,,,ICC 768 Soremartec S.A. : MUSST APAC-MEA Reporting Maintenance,,"Aug24 India recharge to BV for employee cost related to Client Ferrero (EF)  project MUSST APAC-MEA Reporting Maintenance - Employee RAMESH, LOKESH billable Hrs 16",90.4
,Journal,xElimination Blend360,Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52164.0,913917.0,- No Entity -,,,,,TopSide Management Book Elim  from Elim JE 52153,56523.83
,Journal,xElimination Blend360,Intercompany,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1019 ICC in Forth Point Represents Blend360 : Legrand - Cablofil Managed Service Level Agreement,,,-1482.1
,Journal,xElimination Blend360,Intercompany,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52158.0,912617.0,- No Entity -,,,ICC 1244 GoodRx : GoodRx - Incremental BI Support,,,-10564.92
,Journal,xElimination Blend International,Intercompany,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52154.0,913412.0,- No Entity -,,,ICC 770 Soremartec S.A. : P1 Africa-Levant Reports Ongoing,,,-797.74
,Journal,"Blend360 International Holdings, LLC",Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,49311.0,889366.0,- No Entity -,,,ICC 770 Soremartec S.A. : P1 Africa-Levant Reports Ongoing,,"Aug24 India recharge to BV for employee cost related to Client Ferrero (EF)  project P1 Africa-Levant Reports Ongoing - Employee VEMULAPALLI, HARINI billable Hrs 15",490.22
,Journal,xElimination Blend International,Intercompany,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,52154.0,913412.0,- No Entity -,,,ICC 768 Soremartec S.A. : MUSST APAC-MEA Reporting Maintenance,,,-180.8
,Journal,Montevideo Labs,Business Intelligence,Interco - Business Intelligence Revenue,2024-08-31,2024-08-01,51844.0,901789.0,- No Entity -,,,ICC 867 CVS Health : Retail Analytics DS and BI - 2024,,CVS: Retail Analytics DS and BI - 2024 Servicios exonerados de IRAE segun literal S articulo 52 Titulo 4 related to invoice  A2312,8804.098223326255
